Name,RequiredExpLevel,RequiredTotalTrophies,RequiredSeasonPoints,RequiredHero,IconSWF,IconExportName,SortOrder,
string,int,int,int,string,string,string,int,
base1,1,0,,,sc/ui.sc,player_icon_00,0,
base2,1,0,,,sc/ui.sc,player_icon_01,1,
base3,1,0,,,sc/ui.sc,player_icon_02,2,
hero1,0,0,,ShotgunGirl,sc/characters.sc,player_icon_shelly,101,
hero2,0,0,,Gunslinger,sc/characters.sc,player_icon_colt,103,
hero3,0,0,,RocketGirl,sc/characters.sc,player_icon_brock,106,
hero4,0,0,,Mechanic,sc/characters.sc,player_icon_jess,105,
hero5,0,0,,Shaman,sc/characters.sc,player_icon_nita,102,
hero6,0,0,,TntDude,sc/characters.sc,player_icon_mike,107,
hero7,0,0,,Luchador,sc/characters.sc,player_icon_primo,201,
hero8,0,0,,BullDude,sc/characters.sc,player_icon_bull,104,
hero9,0,0,,TrickshotDude,sc/characters.sc,player_icon_rick,301,
hero10,0,0,,Barkeep,sc/characters.sc,player_icon_barley,202,
hero11,0,0,,DeadMariachi,sc/characters.sc,player_icon_poco,203,
hero12,0,0,,Undertaker,sc/characters.sc,player_icon_mortis,501,
hero13,0,0,,BowDude,sc/characters.sc,player_icon_bo,108,
hero14,0,0,,Cactus,sc/characters.sc,player_icon_spike,601,
hero15,0,0,,Crow,sc/characters.sc,player_icon_crow,602,
hero16,0,0,,Sniper,sc/characters.sc,player_icon_piper,401,
base4,1,0,,,sc/characters.sc,player_icon_03,3,
base5,1,0,,,sc/characters.sc,player_icon_04,4,
base6,1,0,,,sc/characters.sc,player_icon_05,5,
base7,1,0,,,sc/characters.sc,player_icon_06,6,
base8,1,0,,,sc/characters.sc,player_icon_07,7,
trophy1,1,0,,,sc/characters.sc,player_icon_trophy_00,8,
trophy2,1,0,,,sc/characters.sc,player_icon_trophy_01,9,
trophy3,1,0,,,sc/characters.sc,player_icon_trophy_02,10,
trophy4,1,0,,,sc/characters.sc,player_icon_trophy_03,11,
hero17,0,0,,MinigunDude,sc/characters.sc,player_icon_mj,402,
hero18,0,0,,BlackHole,sc/characters.sc,player_icon_taro,502,
trophy5,1,0,,,sc/characters.sc,player_icon_elite_00,12,
trophy6,1,0,,,sc/characters.sc,player_icon_elite_01,13,
trophy7,1,0,,,sc/characters.sc,player_icon_elite_02,14,
trophy8,1,0,,,sc/characters.sc,player_icon_elite_03,15,
hero19,0,0,,BarrelBot,sc/characters.sc,player_icon_barrelbot,302,
hero20,0,0,,ArtilleryDude,sc/characters.sc,player_icon_penny,303,
hero21,0,0,,HammerDude,sc/characters.sc,player_icon_frank,403,
hero22,0,0,,Ninja,sc/characters.sc,player_icon_leon,603,
hero23,0,0,,HookDude,sc/characters.sc,player_icon_gene,503,
hero24,0,0,,Whirlwind,sc/characters.sc,player_icon_carl,304,
hero25,0,0,,Rosa,sc/characters.sc,player_icon_rosa,204,
hero26,0,0,,Baseball,sc/characters.sc,player_icon_bibi,404,
hero27,0,0,,ClusterBombDude,sc/characters.sc,player_icon_tick,109,
hero28,0,0,,Arcade,sc/characters.sc,player_icon_8bit,110,
hero29,0,0,,Sandstorm,sc/characters.sc,player_icon_sandy,604,
hero30,0,0,,Mummy,sc/characters.sc,player_icon_emz,111,
hero31,0,0,,BeeSniper,sc/characters.sc,player_icon_bea,405,
hero32,0,0,,Speedy,sc/characters.sc,player_icon_max,504,
hero33,0,0,,SpawnerDude,sc/characters.sc,player_icon_mrp,505,
hero34,0,0,,Driller,sc/characters.sc,player_icon_jacky,305,
hero35,0,0,,Wally,sc/characters.sc,player_icon_sprout,506,
hero36,0,0,,Blower,sc/characters.sc,player_icon_gale,701,
hero37,0,0,,Controller,sc/characters.sc,player_icon_nani,406,
hero38,0,0,,PowerLeveler,sc/characters.sc,player_icon_surge,702,
hero39,0,0,,Percenter,sc/characters.sc,player_icon_colette,703,
hero40,0,0,,FireDude,sc/characters.sc,player_icon_amber,605,
hero41,0,0,,IceDude,sc/characters.sc,player_icon_lou,704,
hero42,0,0,,SnakeOil,sc/characters.sc,player_icon_byron,507,
hero43,0,0,,Enrager,sc/characters.sc,player_icon_edgar,407,
hero44,0,0,,Ruffs,sc/characters.sc,player_icon_ruffs,705,
,,,,,,,,
